page,source_url,src_len,count,yes,no,ii,dk
https://www.snopes.com/fact-check/21-gun-salute-2/,http://archive.is/IL0z8,1,0,0,0,0,0
https://www.snopes.com/fact-check/daisy-dog-rescued-911-survivors/,https://www.pdsa.org.uk/what-we-do/animal-awards-programme/pdsa-dickin-medal,1,3,0,2,1,0
https://www.snopes.com/fact-check/cocoa-mulch/,http://web.archive.org/web/20020615094522/http://www.petcare.umn.edu/FAQ/Toxicology/Chocolate.htm,1,3,3,0,0,0
https://www.snopes.com/fact-check/are-politicians-actual-psychopaths/,http://archive.is/9tdOw,5,0,0,0,0,0
https://www.snopes.com/fact-check/are-politicians-actual-psychopaths/,https://www.scientificamerican.com/article/the-big-five/,5,0,0,0,0,0
https://www.snopes.com/fact-check/are-politicians-actual-psychopaths/,https://www.scientificamerican.com/article/what-psychopaths-teach-us-about-how-to-succeed/,5,0,0,0,0,0
https://www.snopes.com/fact-check/are-politicians-actual-psychopaths/,http://www.kevindutton.co.uk/indy-100-10-jobs-likely-attract-psychopaths/,5,0,0,0,0,0
https://www.snopes.com/fact-check/are-politicians-actual-psychopaths/,https://www.newscientist.com/article/2168713-huge-new-facebook-data-leak-exposed-intimate-details-of-3m-users/,5,0,0,0,0,0
https://www.snopes.com/fact-check/miley-cyrus-nuked-trump-president/,http://archive.is/yuBMm,5,0,0,0,0,0
https://www.snopes.com/fact-check/miley-cyrus-nuked-trump-president/,http://archive.is/0vZhs,5,0,0,0,0,0
https://www.snopes.com/fact-check/miley-cyrus-nuked-trump-president/,http://archive.is/05FW4,5,0,0,0,0,0
https://www.snopes.com/fact-check/miley-cyrus-nuked-trump-president/,http://archive.is/zWIbW,5,0,0,0,0,0
https://www.snopes.com/fact-check/miley-cyrus-nuked-trump-president/,http://archive.is/EjmYx,5,0,0,0,0,0
https://www.snopes.com/fact-check/can-ghost-peppers-burn-a-hole-in-your-esophagus/,https://www.ncbi.nlm.nih.gov/pubmed/11473305,8,0,0,0,0,0
https://www.snopes.com/fact-check/can-ghost-peppers-burn-a-hole-in-your-esophagus/,https://www.washingtonpost.com/news/morning-mix/wp/2016/10/18/he-ate-an-extremely-spicy-ghost-pepper-hours-later-doctors-found-a-hole-in-his-throat/,8,0,0,0,0,0
https://www.snopes.com/fact-check/can-ghost-peppers-burn-a-hole-in-your-esophagus/,https://www.cnet.com/news/man-eats-hot-pepper-burns-hole-in-esophagus/,8,0,0,0,0,0
https://www.snopes.com/fact-check/can-ghost-peppers-burn-a-hole-in-your-esophagus/,https://www.ncbi.nlm.nih.gov/pubmed/16127749,8,0,0,0,0,0
https://www.snopes.com/fact-check/can-ghost-peppers-burn-a-hole-in-your-esophagus/,https://toxnet.nlm.nih.gov/cgi-bin/sis/search/r?dbs+hsdb:@term+@rn+@rel+404-86-4,8,0,0,0,0,0
https://www.snopes.com/fact-check/can-ghost-peppers-burn-a-hole-in-your-esophagus/,https://www.ncbi.nlm.nih.gov/pubmed/27771922,8,0,0,0,0,0
https://www.snopes.com/fact-check/can-ghost-peppers-burn-a-hole-in-your-esophagus/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3589863/,8,0,0,0,0,0
https://www.snopes.com/fact-check/can-ghost-peppers-burn-a-hole-in-your-esophagus/,https://pubchem.ncbi.nlm.nih.gov/compound/Capsaicin,8,0,0,0,0,0
https://www.snopes.com/fact-check/peotone-high-school-flag-ban/,https://www.facebook.com/permalink.php?story_fbid=1120207994738918&id=477526669007057,2,1,0,1,0,0
https://www.snopes.com/fact-check/peotone-high-school-flag-ban/,http://archive.is/HiTGz,2,0,0,0,0,0
https://www.snopes.com/fact-check/the-costner-of-love/,http://web.archive.org/web/20010830061405/http://archive.sportserver.com/newsroom/ap/bbo/1996/mlb/mil/game/archive/050496/mil.html,1,3,0,3,0,0
https://www.snopes.com/fact-check/reindeer-games/,http://www.adfg.alaska.gov/index.cfm?adfg=santasreindeer.main,2,1,0,1,0,0
https://www.snopes.com/fact-check/reindeer-games/,http://web.archive.org/web/20050416080239/http://reindeer.salrm.uaf.edu/html/reinFAQ.html,2,1,0,1,0,0
